Model,MAE_MW,RMSE_MW,MAPE_pct
SARIMA,3552.1385815471017,4364.645575307909,11.470410308742792
Prophet,2568.4965354180044,3361.2999533624625,8.12873577973407
LSTM,378.79599351478737,493.1112199137686,1.22795791626179
