Datetime,MW,hour,dayofweek,month,MW_lag1,MW_lag7,MW_rolling7,anomaly,iso_score
2006-08-01,50224.875,0,1,8,46390.125,40270.875,44341.55357142857,-1,-0.6488140960025746
2006-08-02,52229.833333333336,0,2,8,50224.875,42720.791666666664,45699.98809523809,-1,-0.6781940698013614
2006-08-03,51823.5,0,3,8,52229.833333333336,44590.25,46733.30952380952,-1,-0.6952016924353713
2006-08-04,46678.416666666664,0,4,8,51823.5,43258.291666666664,47221.89880952381,-1,-0.682474903857691
2006-08-05,38798.041666666664,0,5,8,46678.416666666664,41338.125,46859.02976190477,-1,-0.6432884486915533
2006-08-07,43360.666666666664,0,0,8,37087.875,46390.125,45743.31547619047,-1,-0.6317766333585686
2006-08-08,42089.291666666664,0,1,8,43360.666666666664,50224.875,44581.08928571428,-1,-0.6351182034753365
2006-08-09,37886.333333333336,0,2,8,42089.291666666664,52229.833333333336,42532.017857142855,-1,-0.5972287455874719
2007-07-10,45925.5,0,1,7,45178.833333333336,31839.708333333332,37888.93452380953,-1,-0.6025829227549443
2007-07-11,43263.041666666664,0,2,7,45925.5,29251.208333333332,39890.625,-1,-0.5974893904648518
2007-08-03,45370.375,0,4,8,45046.416666666664,41752.416666666664,41314.84523809523,-1,-0.6130045568703898
2007-08-04,42069.0,0,5,8,45370.375,38738.75,41790.59523809523,-1,-0.6098319065918802
2007-08-07,45809.541666666664,0,1,8,42150.833333333336,41551.0,42899.744047619046,-1,-0.5956215423925413
2007-08-08,48939.25,0,2,8,45809.541666666664,42768.625,43781.2619047619,-1,-0.6490778376645631
2007-08-09,44415.958333333336,0,3,8,48939.25,45046.416666666664,43691.19642857143,-1,-0.6505405863008463
2007-08-10,39711.375,0,4,8,44415.958333333336,45370.375,42882.767857142855,-1,-0.6252507100853028
2008-06-09,47511.833333333336,0,0,6,41483.125,32090.75,37389.357142857145,-1,-0.6105684859009659
2008-06-10,47808.166666666664,0,1,6,47511.833333333336,32979.208333333336,39507.77976190477,-1,-0.6342110624989743
2008-07-20,42771.458333333336,0,6,7,42542.083333333336,37246.375,41528.41071428572,-1,-0.5985568945978106
2008-07-21,45132.708333333336,0,0,7,42771.458333333336,38398.416666666664,42490.45238095238,-1,-0.5980727222333151
2008-07-22,44301.333333333336,0,1,7,45132.708333333336,39134.291666666664,43228.6011904762,-1,-0.6057109173992118
2010-06-28,45642.541666666664,0,0,6,40209.333333333336,41237.75,41816.72023809523,-1,-0.605405037948212
2010-06-29,42349.583333333336,0,1,6,45642.541666666664,40804.125,42037.5,-1,-0.615098625940584
2010-07-07,48745.708333333336,0,2,7,47666.25,34175.375,38258.541666666664,-1,-0.6229757092406113
2010-07-08,46137.625,0,3,7,48745.708333333336,32085.0,40266.05952380952,-1,-0.6164972692160557
2010-07-09,43616.458333333336,0,4,7,46137.625,31624.833333333332,41979.14880952381,-1,-0.6043184664359192
2010-07-22,43305.0,0,3,7,44683.541666666664,41645.583333333336,43313.369047619046,-1,-0.5975745856719569
2010-07-23,44146.541666666664,0,4,7,43305.0,44694.125,43235.142857142855,-1,-0.6178041340854808
2010-07-24,46764.541666666664,0,5,7,44146.541666666664,41806.0,43943.505952380954,-1,-0.6463099958532244
2010-07-25,41753.875,0,6,7,46764.541666666664,41626.0,43961.77380952381,-1,-0.6460634824907054
2010-07-26,38201.25,0,0,7,41753.875,44286.041666666664,43092.517857142855,-1,-0.5947476407851591
2010-08-11,45584.125,0,2,8,45209.958333333336,43882.25,41460.14880952381,-1,-0.6155750111811338
2010-08-12,40312.958333333336,0,3,8,45584.125,44652.541666666664,40840.20833333333,-1,-0.6027127974541037
2011-07-19,45405.333333333336,0,1,7,43557.166666666664,45653.458333333336,39211.404761904756,-1,-0.618907828783868
2011-07-21,48978.208333333336,0,3,7,45009.041666666664,36260.958333333336,41494.17261904762,-1,-0.6047981077875046
2011-07-22,51987.458333333336,0,4,7,48978.208333333336,36210.791666666664,43747.982142857145,-1,-0.6691714615009177
2011-07-23,47976.625,0,5,7,51987.458333333336,34866.791666666664,45620.81547619048,-1,-0.6746257379937025
2011-07-24,44416.625,0,6,7,47976.625,36431.875,46761.49404761905,-1,-0.6544318076348585
2011-07-25,41874.875,0,0,7,44416.625,43557.166666666664,46521.16666666667,-1,-0.6227476277291001
2011-07-26,41916.833333333336,0,1,7,41874.875,45405.333333333336,46022.80952380953,-1,-0.6160736587557901
2011-07-27,40278.0,0,2,7,41916.833333333336,45009.041666666664,45346.94642857143,-1,-0.5975112581412562
2011-07-28,39856.041666666664,0,3,7,40278.0,48978.208333333336,44043.77976190477,-1,-0.5948582610588343
2011-07-29,43492.625,0,4,7,39856.041666666664,51987.458333333336,42830.232142857145,-1,-0.6022602533345053
2011-07-30,40826.041666666664,0,5,7,43492.625,47976.625,41808.72023809523,-1,-0.6269692539297973
2011-07-31,38916.541666666664,0,6,7,40826.041666666664,44416.625,41022.994047619046,-1,-0.6092810385059336
2012-06-22,43250.041666666664,0,4,6,45850.125,31714.541666666668,35651.369047619046,-1,-0.5989226996927763
