Datetime,predicted_mean
2017-01-01,29862.522301796795
2017-01-02,32554.927106231215
2017-01-03,32548.297846988346
2017-01-04,32379.644357899848
2017-01-05,32687.747895901037
2017-01-06,32720.506778270777
2017-01-07,30457.94601163855
2017-01-08,29037.50414860854
2017-01-09,31857.98115421256
2017-01-10,31831.446227983044
2017-01-11,31909.906240816214
2017-01-12,32387.25373857443
2017-01-13,32446.395446776103
2017-01-14,30296.058406414806
2017-01-15,28939.450019915024
2017-01-16,31778.647661242623
2017-01-17,31776.906816107843
2017-01-18,31856.02359911054
2017-01-19,32336.46696121761
2017-01-20,32406.61554579653
2017-01-21,30258.552872630975
2017-01-22,28905.95272725992
2017-01-23,31750.982066770463
2017-01-24,31753.336383255137
2017-01-25,31837.30269718962
2017-01-26,32321.54513399108
2017-01-27,32394.18596507807
2017-01-28,30248.68241003731
2017-01-29,28898.02798573817
2017-01-30,31744.4685679674
2017-01-31,31748.036893179382
2017-02-01,31832.891301509946
2017-02-02,32317.878882484398
2017-02-03,32391.1803820906
2017-02-04,30246.182385500295
2017-02-05,28895.955973498025
2017-02-06,31742.762984688034
2017-02-07,31746.628885001195
2017-02-08,31831.7364710943
2017-02-09,32316.931311138535
2017-02-10,32390.39979974381
2017-02-11,30245.542069268584
2017-02-12,28895.430180002164
2017-02-13,31742.330363320147
2017-02-14,31746.273229058068
2017-02-15,31831.443525613617
2017-02-16,32316.69004932375
2017-02-17,32390.20133407354
2017-02-18,30245.3786057045
2017-02-19,28895.29558629518
2017-02-20,31742.21960588599
2017-02-21,31746.182063785156
2017-02-22,31831.368528969408
2017-02-23,32316.62835145349
2017-02-24,32390.150559483376
2017-02-25,30245.336835674254
2017-02-26,28895.261220871904
2017-02-27,31742.191327565688
2017-02-28,31746.158796072446
2017-03-01,31831.349380879794
2017-03-02,32316.612593764763
2017-03-03,32390.13759318001
2017-03-04,30245.326165139973
2017-03-05,28895.25243985452
2017-03-06,31742.184101839364
2017-03-07,31746.152850036724
2017-03-08,31831.344488135714
2017-03-09,32316.60856771757
2017-03-10,32390.134280206577
2017-03-11,30245.323439029464
2017-03-12,28895.250196632398
2017-03-13,31742.182255941974
2017-03-14,31746.151331098565
2017-03-15,31831.34323822556
2017-03-16,32316.607539187255
2017-03-17,32390.133433853334
2017-03-18,30245.32274257903
2017-03-19,28895.249623535852
2017-03-20,31742.18178435318
2017-03-21,31746.150943037595
2017-03-22,31831.342918899292
2017-03-23,32316.60727642109
2017-03-24,32390.13321762862
2017-03-25,30245.322564652764
2017-03-26,28895.24947712439
2017-03-27,31742.181663874377
2017-03-28,31746.150843898267
2017-03-29,31831.342837319644
