Datetime,resid
2002-07-03,10701.864852018327
2004-05-24,10772.658484295725
2004-07-25,-9450.904582913185
2004-08-07,-10668.558621155193
2005-06-14,10185.358826761478
2006-08-01,11290.502801504626
2006-08-02,13239.391014974944
2006-08-03,12633.949276961243
2007-07-21,-10014.433100321863
2007-07-22,-10181.440256429167
2007-08-08,11118.9601217101
2007-08-19,-9978.27953297027
2008-06-09,12900.714656289634
2008-06-10,13632.241452332244
2010-07-06,10063.254121424721
2010-07-07,9521.701039232941
2011-06-01,9723.555375467717
2011-06-09,11691.135147157205
2011-07-22,12976.3346650891
2011-07-23,9796.445666801425
2012-05-29,9992.766840460099
2012-06-21,10817.232799364221
2012-07-05,9470.751438776319
2013-08-18,-9996.121706200838
2013-09-11,9923.061734153023
2014-01-07,9574.499744284307
2014-06-18,10563.672692819304
2014-07-19,-9816.147426805876
2014-07-20,-9460.197391132358
2015-02-16,10215.397449288106
2015-02-20,11728.02342341292
2015-09-09,11230.687454758045
2016-08-12,9754.44578809138
2016-08-13,10108.887083753483
2016-09-08,10526.20920133339
2016-09-09,13091.89833518042
2016-09-10,9574.98028438133
2017-05-18,10046.591125087198
2017-05-19,10369.164983534683
2017-06-13,10583.27635339769
2017-07-30,-9398.51058319857
2018-01-05,10808.552990574262
